final,qname
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,14
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,12
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,6
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,5
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,11
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,14
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,10
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,9
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,13
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,9
P12_R11_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,15
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,8
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,15
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,10
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,9
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,12
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,11
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,6
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,8
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,14
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,17
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,9
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,10
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,7
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,13
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,10
P12_R17_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,7
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,5
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,12
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,4
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,8
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,8
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,9
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,6
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,7
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,5
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,9
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,5
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,6
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,8
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,4
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,6
P12_R17_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,5
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,9
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,10
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,13
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,11
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,9
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,6
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,6
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,8
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,14
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,10
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,9
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,6
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,8
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,10
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,5
P12_R17_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,3
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,7
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,8
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,13
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,8
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,12
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,8
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,9
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,9
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,9
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,7
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,1
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,9
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,4
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,7
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,9
P12_R17_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,12
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,8
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,14
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,13
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,11
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,13
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,11
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,13
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,12
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,14
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,9
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,9
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,14
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,6
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,8
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,5
P12_R22_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,6
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,6
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,9
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,6
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,6
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,17
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,8
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,4
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,6
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,5
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,3
P12_R22_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,3
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,10
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,14
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,14
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,7
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,11
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,14
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,13
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,6
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,15
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,12
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,6
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,7
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,11
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,10
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,4
P12_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,8
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,1
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,7
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,14
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,9
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,11
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,11
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,5
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,4
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,9
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,9
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,6
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,8
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,5
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,7
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,9
P12_R22_tphA1_T25 | P12_R2_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,11
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,8
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,13
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,7
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,14
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,8
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,7
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,4
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,6
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,5
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,15
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,6
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,10
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,10
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,12
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,10
P12_R2_tphA1_T25 | P12_R11_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,8
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,9
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,7
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,5
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,9
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,8
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,8
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,8
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,4
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,3
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R17_tphB_T25,5
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,4
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R22_tphA3_T25 | P12_R2_tphB_T25,3
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R11_tphB_T25,6
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R17_tphB_T25,6
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R22_tphB_T25,4
P12_R2_tphA1_T25 | P12_R17_tphA2_T25 | P12_R2_tphA3_T25 | P12_R2_tphB_T25,5
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R11_tphB_T25,9
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R17_tphB_T25,9
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R22_tphB_T25,7
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R11_tphA3_T25 | P12_R2_tphB_T25,5
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R11_tphB_T25,12
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R17_tphB_T25,9
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R22_tphB_T25,6
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R17_tphA3_T25 | P12_R2_tphB_T25,12
P12_R2_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R11_tphB_T25,7
